
Running MFU Algorithm Simulation
Time	Process	Page	Result	Evicted
----	-------	----	------	-------
0.0	W	Enter	11	3	<....................................................................................................>

0.0	W	0	MISS	-
0.0	Y	Enter	17	5	<W...................................................................................................>

0.0	Y	0	MISS	-
0.0	U	Enter	11	1	<WY..................................................................................................>

0.0	U	0	MISS	-
0.0	W	10	MISS	-
0.0	Y	0	HIT	-
0.0	U	2	MISS	-
0.1	W	9	MISS	-
0.1	Y	0	HIT	-
0.1	U	3	MISS	-
0.2	W	10	HIT	-
0.2	Y	1	MISS	-
0.2	U	2	HIT	-
0.3	W	0	HIT	-
0.3	Y	0	HIT	-
0.3	U	7	MISS	-
0.4	W	0	HIT	-
0.4	Y	16	MISS	-
0.4	U	6	MISS	-
0.5	W	7	MISS	-
0.5	Y	16	HIT	-
0.5	U	5	MISS	-
0.6	W	4	MISS	-
0.6	Y	15	MISS	-
0.6	U	9	MISS	-
0.7	W	5	MISS	-
0.7	Y	6	MISS	-
0.7	U	10	MISS	-
0.8	W	5	HIT	-
0.8	Y	5	MISS	-
0.8	U	9	HIT	-
0.9	W	1	MISS	-
0.9	Y	15	HIT	-
0.9	U	4	MISS	-
1.0	V	Enter	5	1	<WYUWUWUYUYUWUWYUWYUYWU..............................................................................>

1.0	V	0	MISS	-
1.0	U	Enter	31	2	<WYUWUWUYUYUWUWYUWYUYWUV.............................................................................>

1.0	U	0	HIT	-
1.0	V	Enter	5	5	<WYUWUWUYUYUWUWYUWYUYWUV.............................................................................>

1.0	V	0	HIT	-
1.0	H	Enter	11	1	<WYUWUWUYUYUWUWYUWYUYWUV.............................................................................>

1.0	H	0	MISS	-
1.0	W	2	MISS	-
1.0	Y	14	MISS	-
1.0	V	1	MISS	-
1.0	U	1	MISS	-
1.0	V	4	MISS	-
1.0	H	1	MISS	-

1.0	U	Exit	11	1	<WYUWUWUYUYUWUWYUWYUYWUVHWYVUVH......................................................................>
1.1	W	4	HIT	-
1.1	Y	14	HIT	-
1.1	V	2	MISS	-
1.1	U	1	MISS	-
1.1	V	3	MISS	-
1.1	H	1	HIT	-
1.2	W	5	HIT	-
1.2	Y	8	MISS	-
1.2	V	2	HIT	-
1.2	U	0	MISS	-
1.2	V	3	HIT	-
1.2	H	7	MISS	-
1.3	W	5	HIT	-
1.3	Y	9	MISS	-
1.3	V	2	HIT	-
1.3	U	12	MISS	-
1.3	V	3	HIT	-
1.3	H	1	HIT	-
1.4	W	1	HIT	-
1.4	Y	7	MISS	-
1.4	V	1	HIT	-
1.4	U	13	MISS	-
1.4	V	4	HIT	-
1.4	H	1	HIT	-
1.5	W	0	HIT	-
1.5	Y	12	MISS	-
1.5	V	4	HIT	-
1.5	U	6	MISS	-
1.5	V	0	HIT	-
1.5	H	0	HIT	-
1.6	W	1	HIT	-
1.6	Y	11	MISS	-
1.6	V	0	HIT	-
1.6	U	7	MISS	-
1.6	V	4	HIT	-
1.6	H	1	HIT	-
1.7	W	0	HIT	-
1.7	Y	15	HIT	-
1.7	V	0	HIT	-
1.7	U	30	MISS	-
1.7	V	4	HIT	-
1.7	H	1	HIT	-
1.8	W	0	HIT	-
1.8	Y	0	HIT	-
1.8	V	4	HIT	-
1.8	U	29	MISS	-
1.8	V	0	HIT	-
1.8	H	2	MISS	-
1.9	W	0	HIT	-
1.9	Y	2	MISS	-
1.9	V	3	HIT	-
1.9	U	28	MISS	-
1.9	V	0	HIT	-
1.9	H	3	MISS	-
2.0	W	0	HIT	-
2.0	Y	2	HIT	-
2.0	U	27	MISS	-
2.0	V	0	HIT	-

2.0	V	Exit	5	1	<WY.W.W.Y.Y.W.WY.WY.YW.VHWYV.VHVUVYUHYUYUYUYUUUHYUHU.................................................>

2.0	H	Exit	11	1	<WY.W.W.Y.Y.W.WY.WY.YW..HWY...H.U.YUHYUYUYUYUUUHYUHU.................................................>
2.1	W	1	HIT	-
2.1	Y	1	HIT	-
2.1	U	26	MISS	-
2.1	V	4	MISS	-
2.2	W	6	MISS	-
2.2	Y	0	HIT	-
2.2	U	5	MISS	-
2.2	V	4	HIT	-
2.3	W	5	HIT	-
2.3	Y	16	HIT	-
2.3	U	5	HIT	-
2.3	V	1	MISS	-
2.4	W	5	HIT	-
2.4	Y	16	HIT	-
2.4	U	6	HIT	-
2.4	V	0	MISS	-
2.5	W	6	HIT	-
2.5	Y	0	HIT	-
2.5	U	5	HIT	-
2.5	V	1	HIT	-
2.6	W	5	HIT	-
2.6	Y	8	HIT	-
2.6	U	4	MISS	-
2.6	V	1	HIT	-
2.7	W	5	HIT	-
2.7	Y	0	HIT	-
2.7	U	0	HIT	-
2.7	V	1	HIT	-
2.8	W	5	HIT	-
2.8	Y	0	HIT	-
2.8	U	0	HIT	-
2.8	V	4	HIT	-
2.9	W	2	HIT	-
2.9	Y	1	HIT	-
2.9	U	1	HIT	-
2.9	V	0	HIT	-
3.0	A	Enter	17	2	<WY.W.W.Y.Y.W.WY.WY.YW...WY.....U.YU.YUYUYUYUUU.YU.UUVWUVVU..........................................>

3.0	A	0	MISS	-
3.0	M	Enter	5	4	<WY.W.W.Y.Y.W.WY.WY.YW...WY.....U.YU.YUYUYUYUUU.YU.UUVWUVVUA.........................................>

3.0	M	0	MISS	-
3.0	K	Enter	17	2	<WY.W.W.Y.Y.W.WY.WY.YW...WY.....U.YU.YUYUYUYUUU.YU.UUVWUVVUAM........................................>

3.0	K	0	MISS	-
3.0	Y	9	HIT	-
3.0	V	2	MISS	-
3.0	A	0	HIT	-
3.0	M	0	HIT	-
3.0	K	16	MISS	-

3.0	W	Exit	11	3	<WY.W.W.Y.Y.W.WY.WY.YW...WY.....U.YU.YUYUYUYUUU.YU.UUVWUVVUAMKVK.....................................>

3.0	U	Exit	31	2	<.Y.....Y.Y....Y..Y.Y.....Y.....U.YU.YUYUYUYUUU.YU.UUV.UVVUAMKVK.....................................>
3.1	Y	10	MISS	-
3.1	V	3	MISS	-
3.1	A	16	MISS	-
3.1	M	1	MISS	-
3.1	K	15	MISS	-
3.2	Y	9	HIT	-
3.2	V	2	HIT	-
3.2	A	16	HIT	-
3.2	M	4	MISS	-
3.2	K	16	HIT	-
3.3	Y	5	HIT	-
3.3	V	3	HIT	-
3.3	A	16	HIT	-
3.3	M	0	HIT	-
3.3	K	0	HIT	-
3.4	Y	6	HIT	-
3.4	V	3	HIT	-
3.4	A	16	HIT	-
3.4	M	4	HIT	-
3.4	K	1	MISS	-
3.5	Y	16	HIT	-
