
Running FIFO Algorithm Simulation
Time	Process	Page	Result	Evicted
----	-------	----	------	-------
0.0	M	Enter	31	4	<....................................................................................................>

0.0	M	0	MISS	-
0.0	M	1	MISS	-
0.1	M	15	MISS	-
0.2	M	16	MISS	-
0.3	M	15	HIT	-
0.4	M	6	MISS	-
0.5	M	5	MISS	-
0.6	M	22	MISS	-
0.7	M	9	MISS	-
0.8	M	10	MISS	-
0.9	M	20	MISS	-
1.0	P	Enter	5	3	<MMMMMMMMMM..........................................................................................>

1.0	P	0	MISS	-
1.0	C	Enter	11	3	<MMMMMMMMMMP.........................................................................................>

1.0	C	0	MISS	-
1.0	G	Enter	31	4	<MMMMMMMMMMPC........................................................................................>

1.0	G	0	MISS	-
1.0	R	Enter	5	5	<MMMMMMMMMMPCG.......................................................................................>

1.0	R	0	MISS	-
1.0	F	Enter	31	2	<MMMMMMMMMMPCGR......................................................................................>

1.0	F	0	MISS	-
1.0	M	19	MISS	-
1.0	P	0	HIT	-
1.0	C	0	HIT	-
1.0	G	30	MISS	-
1.0	R	0	HIT	-
1.0	F	3	MISS	-
1.1	M	6	HIT	-
1.1	P	4	MISS	-
1.1	C	1	MISS	-
1.1	G	0	HIT	-
1.1	R	2	MISS	-
1.1	F	3	HIT	-
1.2	M	20	HIT	-
1.2	P	1	MISS	-
1.2	C	2	MISS	-
1.2	G	30	HIT	-
1.2	R	2	HIT	-
1.2	F	2	MISS	-
1.3	M	16	HIT	-
1.3	P	3	MISS	-
1.3	C	0	HIT	-
1.3	G	0	HIT	-
1.3	R	0	HIT	-
1.3	F	2	HIT	-
1.4	M	16	HIT	-
1.4	P	2	MISS	-
1.4	C	1	HIT	-
1.4	G	11	MISS	-
1.4	R	0	HIT	-
1.4	F	19	MISS	-
1.5	M	21	MISS	-
1.5	P	3	HIT	-
1.5	C	2	HIT	-
1.5	G	10	MISS	-
1.5	R	4	MISS	-
1.5	F	20	MISS	-
1.6	M	21	HIT	-
1.6	P	4	HIT	-
1.6	C	6	MISS	-
1.6	G	10	HIT	-
1.6	R	0	HIT	-
1.6	F	20	HIT	-
1.7	M	22	HIT	-
1.7	P	1	HIT	-
1.7	C	10	MISS	-
1.7	G	10	HIT	-
1.7	R	0	HIT	-
1.7	F	20	HIT	-
1.8	M	21	HIT	-
1.8	P	0	HIT	-
1.8	C	9	MISS	-
1.8	G	10	HIT	-
1.8	R	4	HIT	-
1.8	F	21	MISS	-
1.9	M	4	MISS	-
1.9	P	0	HIT	-
1.9	C	8	MISS	-
1.9	G	10	HIT	-
1.9	R	0	HIT	-
1.9	F	13	MISS	-
2.0	B	Enter	5	3	<MMMMMMMMMMPCGRFMGFPCRPCFPPGFMGRFCCCFMCF.............................................................>

2.0	B	0	MISS	-
2.0	Z	Enter	31	3	<MMMMMMMMMMPCGRFMGFPCRPCFPPGFMGRFCCCFMCFB............................................................>

2.0	Z	0	MISS	-
2.0	I	Enter	17	2	<MMMMMMMMMMPCGRFMGFPCRPCFPPGFMGRFCCCFMCFBZ...........................................................>

2.0	I	0	MISS	-
2.0	M	5	HIT	-
2.0	P	1	HIT	-
2.0	C	6	HIT	-
2.0	G	10	HIT	-
2.0	R	0	HIT	-
2.0	F	7	MISS	-
2.0	B	0	HIT	-
2.0	Z	29	MISS	-
2.0	I	13	MISS	-
2.1	M	5	HIT	-
2.1	P	1	HIT	-
2.1	C	1	HIT	-
2.1	G	11	HIT	-
