
Running LFU Algorithm Simulation
Time	Process	Page	Result	Evicted
----	-------	----	------	-------
0.0	H	Enter	5	2	<....................................................................................................>

0.0	H	0	MISS	-
0.0	H	0	HIT	-
0.1	H	2	MISS	-
0.2	H	1	MISS	-
0.3	H	4	MISS	-
0.4	H	3	MISS	-
0.5	H	1	HIT	-
0.6	H	2	HIT	-
0.7	H	2	HIT	-
0.8	H	1	HIT	-
0.9	H	2	HIT	-
1.0	L	Enter	11	1	<HHHHH...............................................................................................>

1.0	L	0	MISS	-
1.0	S	Enter	31	2	<HHHHHL..............................................................................................>

1.0	S	0	MISS	-
1.0	H	1	HIT	-
1.0	L	0	HIT	-
1.0	S	10	MISS	-
1.1	H	1	HIT	-
1.1	L	3	MISS	-
1.1	S	10	HIT	-
1.2	H	1	HIT	-
1.2	L	4	MISS	-
1.2	S	10	HIT	-
1.3	H	2	HIT	-
1.3	L	4	HIT	-
1.3	S	14	MISS	-
1.4	H	2	HIT	-
1.4	L	3	HIT	-
1.4	S	13	MISS	-
1.5	H	3	HIT	-
1.5	L	4	HIT	-
1.5	S	13	HIT	-
1.6	H	3	HIT	-
1.6	L	4	HIT	-
1.6	S	7	MISS	-
1.7	H	0	HIT	-
1.7	L	3	HIT	-
1.7	S	6	MISS	-
1.8	H	1	HIT	-
1.8	L	2	MISS	-
1.8	S	7	HIT	-
1.9	H	1	HIT	-
1.9	L	3	HIT	-
1.9	S	7	HIT	-
2.0	X	Enter	17	5	<HHHHHLSSLLSSSSL.....................................................................................>

2.0	X	0	MISS	-
2.0	S	8	MISS	-
2.0	X	16	MISS	-

2.0	H	Exit	5	2	<HHHHHLSSLLSSSSLXSX..................................................................................>

2.0	L	Exit	11	1	<.....LSSLLSSSSLXSX..................................................................................>
2.1	S	13	HIT	-
2.1	X	9	MISS	-
2.2	S	27	MISS	-
2.2	X	6	MISS	-
2.3	S	24	MISS	-
2.3	X	7	MISS	-
2.4	S	24	HIT	-
2.4	X	7	HIT	-
2.5	S	4	MISS	-
2.5	X	4	MISS	-
2.6	S	4	HIT	-
