
Running LRU Algorithm Simulation
Time	Process	Page	Result	Evicted
----	-------	----	------	-------
0.0	B	Enter	31	1	<....................................................................................................>

0.0	B	0	MISS	-
0.0	C	Enter	5	5	<B...................................................................................................>

0.0	C	0	MISS	-
0.0	Z	Enter	31	2	<BC..................................................................................................>

0.0	Z	0	MISS	-
0.0	F	Enter	31	1	<BCZ.................................................................................................>

0.0	F	0	MISS	-
0.0	D	Enter	11	2	<BCZF................................................................................................>

0.0	D	0	MISS	-
0.0	M	Enter	11	4	<BCZFD...............................................................................................>

0.0	M	0	MISS	-
0.0	B	1	MISS	-
0.0	C	1	MISS	-
0.0	Z	20	MISS	-
0.0	F	15	MISS	-
0.0	D	1	MISS	-
0.0	M	5	MISS	-
0.1	B	0	HIT	-
0.1	C	2	MISS	-
0.1	Z	21	MISS	-
0.1	F	23	MISS	-
0.1	D	1	HIT	-
0.1	M	0	HIT	-
0.2	B	1	HIT	-
0.2	C	2	HIT	-
0.2	Z	22	MISS	-
0.2	F	23	HIT	-
0.2	D	1	HIT	-
0.2	M	1	MISS	-
0.3	B	2	MISS	-
0.3	C	3	MISS	-
0.3	Z	23	MISS	-
0.3	F	22	MISS	-
0.3	D	1	HIT	-
0.3	M	4	MISS	-
0.4	B	12	MISS	-
0.4	C	0	HIT	-
0.4	Z	23	HIT	-
0.4	F	22	HIT	-
0.4	D	5	MISS	-
0.4	M	4	HIT	-
0.5	B	13	MISS	-
0.5	C	2	HIT	-
0.5	Z	23	HIT	-
0.5	F	23	HIT	-
0.5	D	6	MISS	-
0.5	M	10	MISS	-
0.6	B	25	MISS	-
0.6	C	3	HIT	-
0.6	Z	22	HIT	-
0.6	F	24	MISS	-
0.6	D	10	MISS	-
0.6	M	10	HIT	-
0.7	B	27	MISS	-
0.7	C	4	MISS	-
0.7	Z	22	HIT	-
0.7	F	23	HIT	-
0.7	D	0	HIT	-
0.7	M	9	MISS	-
0.8	B	27	HIT	-
0.8	C	3	HIT	-
0.8	Z	23	HIT	-
0.8	F	24	HIT	-
0.8	D	1	HIT	-
0.8	M	10	HIT	-
0.9	B	0	HIT	-
0.9	C	1	HIT	-
0.9	Z	22	HIT	-
0.9	F	23	HIT	-
0.9	D	2	MISS	-
0.9	M	10	HIT	-
1.0	D	Enter	11	3	<BCZFDMBCZFDMCZFZMBCZFMBDBDMBFDBCMD..................................................................>

1.0	D	0	HIT	-
1.0	O	Enter	17	3	<BCZFDMBCZFDMCZFZMBCZFMBDBDMBFDBCMD..................................................................>

1.0	O	0	MISS	-
1.0	N	Enter	5	2	<BCZFDMBCZFDMCZFZMBCZFMBDBDMBFDBCMDO.................................................................>

1.0	N	0	MISS	-
1.0	J	Enter	5	3	<BCZFDMBCZFDMCZFZMBCZFMBDBDMBFDBCMDON................................................................>

1.0	J	0	MISS	-
1.0	C	3	HIT	-
1.0	Z	20	HIT	-
1.0	D	3	MISS	-
1.0	M	10	HIT	-
