
Running RandomPick Algorithm Simulation
Time	Process	Page	Result	Evicted
----	-------	----	------	-------
0.0	M	Enter	5	5	<....................................................................................................>

0.0	M	0	MISS	-
0.0	S	Enter	5	5	<M...................................................................................................>

0.0	S	0	MISS	-
0.0	M	4	MISS	-
0.0	S	1	MISS	-
0.1	M	0	HIT	-
0.1	S	2	MISS	-
0.2	M	3	MISS	-
0.2	S	1	HIT	-
0.3	M	2	MISS	-
0.3	S	2	HIT	-
0.4	M	2	HIT	-
0.4	S	2	HIT	-
0.5	M	0	HIT	-
0.5	S	4	MISS	-
0.6	M	0	HIT	-
0.6	S	4	HIT	-
0.7	M	4	HIT	-
0.7	S	2	HIT	-
0.8	M	4	HIT	-
0.8	S	2	HIT	-
0.9	M	4	HIT	-
0.9	S	1	HIT	-
1.0	Q	Enter	17	2	<MSMSSMMS............................................................................................>

1.0	Q	0	MISS	-
1.0	E	Enter	31	1	<MSMSSMMSQ...........................................................................................>

1.0	E	0	MISS	-
1.0	M	0	HIT	-
1.0	S	1	HIT	-
1.0	Q	16	MISS	-
1.0	E	13	MISS	-
1.1	M	4	HIT	-
1.1	S	2	HIT	-
1.1	Q	11	MISS	-
1.1	E	12	MISS	-
1.2	M	0	HIT	-
1.2	S	0	HIT	-
1.2	Q	12	MISS	-
1.2	E	23	MISS	-
1.3	M	1	MISS	-
1.3	S	1	HIT	-
1.3	Q	10	MISS	-
1.3	E	23	HIT	-
1.4	M	0	HIT	-
1.4	S	1	HIT	-
1.4	Q	9	MISS	-
1.4	E	22	MISS	-
1.5	M	1	HIT	-
1.5	S	2	HIT	-
1.5	Q	1	MISS	-
1.5	E	14	MISS	-
1.6	M	0	HIT	-
1.6	S	4	HIT	-
1.6	Q	2	MISS	-
1.6	E	2	MISS	-
1.7	M	4	HIT	-
1.7	S	4	HIT	-
1.7	Q	2	HIT	-
1.7	E	8	MISS	-
1.8	M	1	HIT	-
1.8	S	0	HIT	-
1.8	Q	3	MISS	-
1.8	E	2	HIT	-
1.9	M	2	HIT	-
1.9	S	1	HIT	-
1.9	Q	16	HIT	-
1.9	E	1	MISS	-
2.0	G	Enter	11	4	<MSMSSMMSQEQEQEQEMQQEQEQEEQE.........................................................................>

2.0	G	0	MISS	-
2.0	M	Enter	11	3	<MSMSSMMSQEQEQEQEMQQEQEQEEQEG........................................................................>

2.0	M	0	HIT	-
2.0	O	Enter	11	5	<MSMSSMMSQEQEQEQEMQQEQEQEEQEG........................................................................>

2.0	O	0	MISS	-
2.0	U	Enter	17	1	<MSMSSMMSQEQEQEQEMQQEQEQEEQEGO.......................................................................>

2.0	U	0	MISS	-
2.0	Y	Enter	11	1	<MSMSSMMSQEQEQEQEMQQEQEQEEQEGOU......................................................................>

2.0	Y	0	MISS	-
2.0	I	Enter	17	2	<MSMSSMMSQEQEQEQEMQQEQEQEEQEGOUY.....................................................................>

2.0	I	0	MISS	-
2.0	M	0	HIT	-
2.0	S	2	HIT	-
2.0	Q	4	MISS	-
2.0	G	10	MISS	-
2.0	M	1	HIT	-
2.0	O	7	MISS	-
2.0	U	0	HIT	-
2.0	Y	9	MISS	-
2.0	I	2	MISS	-

2.0	E	Exit	31	1	<MSMSSMMSQEQEQEQEMQQEQEQEEQEGOUYIQGOYI...............................................................>
2.1	M	4	HIT	-
2.1	S	3	MISS	-
2.1	Q	4	HIT	-
2.1	G	0	HIT	-
2.1	M	0	HIT	-
2.1	O	6	MISS	-
2.1	U	0	HIT	-
2.1	Y	10	MISS	-
2.1	I	11	MISS	-
2.2	M	4	HIT	-
2.2	S	4	HIT	-
2.2	Q	3	HIT	-
2.2	G	0	HIT	-
2.2	M	10	MISS	-
2.2	O	3	MISS	-
2.2	U	0	HIT	-
2.2	Y	10	HIT	-
2.2	I	11	HIT	-
2.3	M	2	HIT	-
2.3	S	4	HIT	-
2.3	Q	11	HIT	-
2.3	G	1	MISS	-
2.3	M	10	HIT	-
2.3	O	4	MISS	-
2.3	U	0	HIT	-
2.3	Y	1	MISS	-
2.3	I	5	MISS	-
2.4	M	4	HIT	-
2.4	S	0	HIT	-
2.4	Q	12	HIT	-
2.4	G	10	HIT	-
2.4	M	7	MISS	-
2.4	O	5	MISS	-
2.4	U	0	HIT	-
2.4	Y	0	HIT	-
2.4	I	4	MISS	-
2.5	M	3	HIT	-
2.5	S	0	HIT	-
2.5	Q	11	HIT	-
2.5	G	2	MISS	-
2.5	M	7	HIT	-
2.5	O	4	HIT	-
2.5	U	1	MISS	-
2.5	Y	10	HIT	-
2.5	I	5	HIT	-
2.6	M	2	HIT	-
2.6	S	4	HIT	-
2.6	Q	10	HIT	-
2.6	G	9	MISS	-
2.6	M	7	HIT	-
2.6	O	4	HIT	-
2.6	U	1	HIT	-
2.6	Y	0	HIT	-
2.6	I	5	HIT	-
2.7	M	3	HIT	-
2.7	S	4	HIT	-
2.7	Q	4	HIT	-
2.7	G	5	MISS	-
2.7	M	9	MISS	-
2.7	O	5	HIT	-
2.7	U	0	HIT	-
2.7	Y	1	HIT	-
2.7	I	4	HIT	-
2.8	M	3	HIT	-
2.8	S	3	HIT	-
2.8	Q	1	HIT	-
2.8	G	5	HIT	-
2.8	M	9	HIT	-
2.8	O	4	HIT	-
2.8	U	0	HIT	-
2.8	Y	0	HIT	-
2.8	I	5	HIT	-
2.9	M	1	HIT	-
2.9	S	4	HIT	-
2.9	Q	13	MISS	-
2.9	G	4	MISS	-
2.9	M	10	HIT	-
2.9	O	7	HIT	-
2.9	U	1	HIT	-
2.9	Y	9	HIT	-
2.9	I	7	MISS	-
3.0	X	Enter	17	2	<MSMSSMMSQ.Q.Q.Q.MQQ.Q.Q..Q.GOUYIQGOYISOYIMOGOYIMOIGUGGMQGI..........................................>

3.0	X	0	MISS	-
3.0	Y	Enter	17	3	<MSMSSMMSQ.Q.Q.Q.MQQ.Q.Q..Q.GOUYIQGOYISOYIMOGOYIMOIGUGGMQGIX.........................................>

3.0	Y	0	HIT	-
3.0	L	Enter	17	4	<MSMSSMMSQ.Q.Q.Q.MQQ.Q.Q..Q.GOUYIQGOYISOYIMOGOYIMOIGUGGMQGIX.........................................>

3.0	L	0	MISS	-
3.0	M	1	HIT	-
3.0	S	0	HIT	-
3.0	G	9	HIT	-
3.0	M	9	HIT	-
3.0	O	6	HIT	-
3.0	I	4	HIT	-
3.0	X	16	MISS	-
3.0	Y	0	HIT	-
3.0	L	16	MISS	-

3.0	Q	Exit	17	2	<MSMSSMMSQ.Q.Q.Q.MQQ.Q.Q..Q.GOUYIQGOYISOYIMOGOYIMOIGUGGMQGIXLXL......................................>

3.0	U	Exit	17	1	<MSMSSMMS........M..........GOUYI.GOYISOYIMOGOYIMOIGUGGM.GIXLXL......................................>

3.0	Y	Exit	11	1	<MSMSSMMS........M..........GO.YI.GOYISOYIMOGOYIMOIG.GGM.GIXLXL......................................>
3.1	M	3	HIT	-
3.1	S	1	HIT	-
3.1	G	8	MISS	-
3.1	M	9	HIT	-
3.1	O	6	HIT	-
3.1	I	5	HIT	-
3.1	X	16	HIT	-
3.1	Y	1	MISS	-
3.1	L	15	MISS	-
3.2	M	4	HIT	-
3.2	S	1	HIT	-
3.2	G	9	HIT	-
3.2	M	10	HIT	-
3.2	O	5	HIT	-
3.2	I	5	HIT	-
3.2	X	16	HIT	-
3.2	Y	2	MISS	-
3.2	L	9	MISS	-
3.3	M	3	HIT	-
3.3	S	0	HIT	-
3.3	G	9	HIT	-
3.3	M	9	HIT	-
3.3	O	4	HIT	-
3.3	I	6	MISS	-
3.3	X	15	MISS	-
3.3	Y	2	HIT	-
3.3	L	5	MISS	-
3.4	M	3	HIT	-
3.4	S	4	HIT	-
3.4	G	8	HIT	-
3.4	M	10	HIT	-
3.4	O	7	HIT	-
3.4	I	5	HIT	-
3.4	X	15	HIT	-
3.4	Y	1	HIT	-
3.4	L	12	MISS	-
3.5	M	1	HIT	-
3.5	S	3	HIT	-
3.5	G	10	HIT	-
3.5	M	0	HIT	-
3.5	O	7	HIT	-
3.5	I	7	HIT	-
3.5	X	15	HIT	-
3.5	Y	1	HIT	-
3.5	L	13	MISS	-
3.6	M	4	HIT	-
3.6	S	0	HIT	-
3.6	G	0	HIT	-
3.6	M	1	HIT	-
3.6	O	6	HIT	-
3.6	I	6	HIT	-
3.6	X	16	HIT	-
3.6	Y	0	MISS	-
3.6	L	13	HIT	-
3.7	M	0	HIT	-
3.7	S	2	HIT	-
3.7	G	1	HIT	-
3.7	M	1	HIT	-
3.7	O	7	HIT	-
3.7	I	7	HIT	-
3.7	X	8	MISS	-
3.7	Y	16	MISS	-
3.7	L	4	MISS	-
3.8	M	4	HIT	-
3.8	S	3	HIT	-
3.8	G	0	HIT	-
3.8	M	0	HIT	-
3.8	O	6	HIT	-
3.8	I	8	MISS	-
3.8	X	4	MISS	-
3.8	Y	7	MISS	-
3.8	L	5	HIT	-
3.9	M	4	HIT	-
3.9	S	1	HIT	-
3.9	G	10	HIT	-
3.9	M	9	HIT	-
3.9	O	3	HIT	-
3.9	I	4	HIT	-
3.9	X	8	HIT	-
3.9	Y	8	MISS	-
3.9	L	10	MISS	-
4.0	A	Enter	5	4	<MSMSSMMS........M..........GO..I.GO.ISO.IMOGO.IMOIG.GGM.GIXLXLGYLYLIXLLLYXYLIXYYL...................>

4.0	A	0	MISS	-
4.0	M	0	HIT	-
4.0	S	1	HIT	-
4.0	G	0	HIT	-
4.0	M	9	HIT	-
4.0	O	4	HIT	-
4.0	X	5	MISS	-
4.0	Y	9	MISS	-
4.0	L	10	HIT	-
4.0	A	0	HIT	-

4.0	I	Exit	17	2	<MSMSSMMS........M..........GO..I.GO.ISO.IMOGO.IMOIG.GGM.GIXLXLGYLYLIXLLLYXYLIXYYLAXY................>
4.1	M	4	HIT	-
4.1	S	2	HIT	-
4.1	G	10	HIT	-
4.1	M	8	MISS	-
4.1	O	4	HIT	-
4.1	X	6	MISS	-
4.1	Y	12	MISS	-
4.1	L	9	HIT	-
4.1	A	4	MISS	-
4.2	M	4	HIT	-
4.2	S	3	HIT	-
4.2	G	9	HIT	-
4.2	M	2	HIT	-
4.2	O	4	HIT	-
4.2	X	7	MISS	-
4.2	Y	12	HIT	-
4.2	L	10	HIT	-
4.2	A	0	HIT	-
4.3	M	0	HIT	-
4.3	S	4	HIT	-
4.3	G	10	HIT	-
4.3	M	3	HIT	-
4.3	O	5	HIT	-
4.3	X	6	HIT	-
4.3	Y	11	MISS	-
4.3	L	9	HIT	-
4.3	A	1	MISS	-
4.4	M	0	HIT	-
4.4	S	3	HIT	-
4.4	G	9	HIT	-
4.4	M	3	HIT	-
4.4	O	5	HIT	-
4.4	X	4	HIT	-
4.4	Y	12	HIT	-
4.4	L	4	HIT	-
